Austin,30.267,-97.743 
Atlanta,33.7490,-84.3880
Augusta,33.4735,-82.0105
Baltimore,39.2904,-76.6122
Birmingham,33.5186,-86.8163
Boston,42.3601,-71.0589
Buffalo,42.8864,-78.8784
Charlotte,35.2271,-80.8431
Charleston,32.7766,-79.9310
Chicago,41.8781,-87.6298
Cincinnati,39.1031,-84.5120
Cleveland,41.4993,-81.6944
Columbia,34.0007,-81.0348
Columbus,39.9612,-82.9988
Dallas,32.7767,-96.7970
Dayton,39.7589,-84.1916
Denver,39.7392,-104.9903
Des Moines,41.6005,-93.6091
Detroit,42.3314,-83.0458
El Paso,31.7619,-106.4850
Fort Worth,32.7555,-97.3308
Grand Rapids,42.9634,-85.6681
Green Bay,44.5192,-88.0198
Harrisburg,40.2732,-76.8837
Houston,29.7604,-95.3698
Indianapolis,39.7684,-86.1580
Jacksonville,30.3322,-81.6557
Kansas City,39.0997,-94.5786
Knoxville,35.9606,-83.9207
Las Vegas,36.1716,-115.1391
Little Rock,34.7465,-92.2896
Long Beach,33.7701,-118.1937
Los Angeles,34.0522,-118.2437
Louisville,38.2527,-85.7585
Memphis,35.1495,-90.0490
Miami,25.7617,-80.1918
Milwaukee,43.0389,-87.9065
Minneapolis,44.9778,-93.2650
Mobile,30.6954,-88.0399
Nashville,36.1627,-86.7816
New Orleans,29.9511,-90.0715
New York,40.7128,-74.0060
Oakland,37.8044,-122.2712
Oklahoma City,35.4676,-97.5164
Omaha,41.2565,-95.9345
Philadelphia,39.9526,-75.1652
Phoenix,33.4484,-112.0740
Pittsburgh,40.4406,-79.9959
Portland,45.5152,-122.6784
Raleigh,35.7796,-78.6382
Richmond,37.5407,-77.4360
Sacramento,38.5816,-121.4944
Salt Lake City,40.7608,-111.8910
San Antonio,29.4241,-98.4936
San Bernardino,34.1083,-117.2898
San Diego,32.7157,-117.1611
San Francisco,37.7749,-122.4194
San Jose,37.3382,-121.8863
Seattle,47.6062,-122.3321
Spokane,47.6588,-117.4260
St. Louis,38.6270,-90.1994
Tacoma,47.2529,-122.4443
Tampa,27.9475,-82.4588
Toledo,41.6639,-83.5552
Tulsa,36.1540,-95.9928
